Deg_Kart_No;Yas;Kart_Grubu;Etkinlik_Adi;Satıs_Dönemi;Bilet_Adedi;Birim_Bilet_Fiyati;Toplam_Bilet_Fiyati;Indirimli_Birim_Fiyat;Indirim_Kaybi;Net_Satis_Geliri;Odeme_Tipi;Satis_Kanalı
1000030357;69;AA;E;On Satis;1;45;45;45;0;45;Kart;Ana Gişe
1000000133;61;AA;E;On Satis;1;112.5;112.5;90;22.5;90;Kart;Ana Gişe
1000028140;66;AA;F;Genel Satis;2;37.5;75;37.5;0;75;Kart;Organizatr
1000027140;59;AA;A;On Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000023722;87;AA;A;On Satis;1;1125;1125;843.75;281.25;843.75;Kart;Organizatr
1000022307;76;AA;F;Genel Satis;1;37.5;37.5;37.5;0;37.5;Kart;Organizatr
1000022294;54;AA;A;On Satis;2;750;1500;562.5;375;1125;Kart;Organizatr
1000021439;47;AA;A;On Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000020256;82;AA;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000019181;51;AA;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000019036;54;AA;F;Genel Satis;2;37.5;75;37.5;0;75;Kart;Organizatr
1000018987;61;AA;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000017696;48;AA;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000017682;54;AA;F;Genel Satis;2;37.5;75;37.5;0;75;Kart;Ana Gişe  
1000017355;58;AA;A;Genel Satis;-2;-675;-1350;-506.25;-337.5;-1012.5;Kart;Organizatr
1000017342;43;AA;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000017187;56;AA;A;On Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000016962;98;AA;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000016196;46;AA;A;On Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000015382;58;AA;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000013794;39;AA;F;Genel Satis;2;37.5;75;37.5;0;75;Kart;Organizatr
1000027004;44;AA;A;On Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000026999;67;AA;A;On Satis;1;1125;1125;843.75;281.25;843.75;Kart;Organizatr
1000026970;42;AA;F;Genel Satis;1;37.5;37.5;37.5;0;37.5;Kart;Organizatr
1000026673;42;AA;A;On Satis;2;750;1500;562.5;375;1125;Kart;Organizatr
1000024638;58;AA;A;On Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000024398;37;AA;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000024387;91;AA;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000024127;36;AA;F;Genel Satis;2;37.5;75;37.5;0;75;Kart;Organizatr
1000023980;41;AA;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000023967;34;AA;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000023960;42;AA;F;Genel Satis;2;37.5;75;37.5;0;75;Kart;Ana Gişe  
1000023458;50;AA;A;Genel Satis;-2;-675;-1350;-506.25;-337.5;-1012.5;Kart;Organizatr
1000023390;30;AA;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000023312;49;AA;A;On Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000023248;64;AA;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000023194;64;AA;A;On Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000022972;58;AA;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000022560;45;AA;A;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000022527;61;AA;D;Genel Satis;2;1125;2250;843.75;562.5;1687.5;Kart;Organizatr
1000022414;40;AA;D;Genel Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000021869;45;AA;A;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000021729;32;AA;D;Genel Satis;2;1125;2250;843.75;562.5;1687.5;Kart;Organizatr
1000020771;38;AA;D;Genel Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000020710;32;AA;D;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000020676;35;AA;D;Genel Satis;1;337.5;337.5;253.125;84.375;253.125;Kart;Organizatr
1000020605;50;AA;D;Genel Satis;2;562.5;1125;421.875;281.25;843.75;Kart;Organizatr
1000020585;54;AA;D;Genel Satis;2;562.5;1125;421.875;281.25;843.75;Kart;Organizatr
1000020342;42;AA;D;Genel Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000020210;49;AA;D;Genel Satis;2;450;900;337.5;225;675;Kart;Organizatr
1000019749;83;AA;D;Genel Satis;2;450;900;337.5;225;675;Kart;Organizatr
1000019390;73;AA;D;Genel Satis;1;337.5;337.5;253.125;84.375;253.125;Kart;Organizatr
1000019205;41;AA;D;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000019067;32;AA;C;On Satis;2;450;900;337.5;225;675;Kart;Organizatr
1000018979;48;AA;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Internet  
1000018900;45;AA;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Internet  
1000018779;51;AA;C;On Satis;2;562.5;1125;421.875;281.25;843.75;Kart;Organizatr
1000018662;45;AA;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Internet  
1000034999;32;AA;A;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000017950;36;AA;A;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000017728;35;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000017498;36;AA;A;Genel Satis;2;750;1500;562.5;375;1125;Kart;Organizatr
1000017422;57;AA;C;On Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000017385;31;AA;C;On Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000017137;66;AA;A;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000017025;38;AA;A;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000016548;54;AA;C;On Satis;2;337.5;675;253.125;168.75;506.25;Kart;Organizatr
1000016485;30;AA;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Internet  
1000016413;45;AA;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Internet  
1000016391;49;AA;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Internet  
1000016002;62;AA;A;Genel Satis;-2;-937.5;-1875;-703.125;-468.75;-1406.25;Kart;Organizatr
1000015814;31;AA;A;Genel Satis;-2;-675;-1350;-506.25;-337.5;-1012.5;Kart;Organizatr
1000015664;34;AA;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Internet  
1000014980;57;AA;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Internet  
1000014798;34;AA;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Internet  
1000014491;61;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000034914;46;AA;A;Genel Satis;2;1125;2250;843.75;562.5;1687.5;Kart;Organizatr
1000014208;38;AA;A;Genel Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000014070;43;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000013986;46;AA;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Internet  
1000013712;42;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000013691;54;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000013672;30;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000013369;33;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000013209;54;AA;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Internet  
1000013049;28;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000012914;49;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000012821;52;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000011725;32;AA;A;Genel Satis;2;1687.5;3375;1265.625;843.75;2531.25;Kart;Organizatr
1000011621;39;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000011476;38;AA;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Internet  
1000034831;29;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000011014;39;AA;C;On Satis;2;450;900;337.5;225;675;Kart;Organizatr
1000010957;48;AA;C;On Satis;2;450;900;337.5;225;675;Kart;Organizatr
1000010494;33;AA;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Internet  
1000010404;74;AA;C;On Satis;2;562.5;1125;421.875;281.25;843.75;Kart;Organizatr
1000010179;34;AA;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Internet  
1000010120;49;AA;A;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000009732;42;AA;A;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000009560;37;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000009249;37;AA;A;Genel Satis;2;750;1500;562.5;375;1125;Kart;Organizatr
1000008981;62;AA;C;On Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000008819;29;AA;C;On Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000008736;27;AA;A;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000008530;59;AA;A;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000008208;58;AA;C;On Satis;2;337.5;675;253.125;168.75;506.25;Kart;Organizatr
1000008122;43;AA;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Internet  
1000008021;53;AA;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Internet  
1000007954;34;AA;A;Genel Satis;-2;-937.5;-1875;-703.125;-468.75;-1406.25;Kart;Organizatr
1000007871;65;AA;A;Genel Satis;-2;-675;-1350;-506.25;-337.5;-1012.5;Kart;Organizatr
1000007865;38;AA;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Internet  
1000007795;27;AA;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Internet  
1000007636;46;AA;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Internet  
1000007545;53;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000007143;36;AA;A;Genel Satis;2;1125;2250;843.75;562.5;1687.5;Kart;Organizatr
1000007141;63;AA;A;Genel Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000007076;61;AA;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Internet  
1000006726;36;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000006623;43;AA;F;On Satis;1;37.5;37.5;37.5;0;37.5;Kart;Internet  
1000006564;23;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000006249;50;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000005893;44;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000005782;55;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000005664;38;AA;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Internet  
1000005589;34;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000005534;40;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000005290;58;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000004531;38;AA;A;Genel Satis;2;1687.5;3375;1265.625;843.75;2531.25;Kart;Organizatr
1000004517;44;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000004418;33;AA;F;On Satis;2;93.75;187.5;75;37.5;150;Kart;Internet  
1000004331;67;AA;F;On Satis;2;37.5;75;37.5;0;75;Kart;Internet  
1000004299;26;AA;C;On Satis;2;450;900;337.5;225;675;Kart;Organizatr
1000004259;29;AA;C;On Satis;2;750;1500;562.5;375;1125;Kart;Organizatr
1000003746;64;AA;A;Genel Satis;1;937.5;937.5;703.125;234.375;703.125;Kart;Organizatr
1000003271;53;AA;A;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000003240;60;AA;A;Genel Satis;1;1687.5;1687.5;1687.5;0;1687.5;Kart;Organizatr
1000003206;31;AA;A;Genel Satis;1;1125;1125;843.75;281.25;843.75;Kart;Organizatr
1000003146;30;AA;A;Genel Satis;-1;-937.5;-937.5;-703.125;-234.375;-703.125;Kart;Organizatr
1000003050;62;AA;A;Genel Satis;1;1687.5;1687.5;1265.625;421.875;1265.625;Kart;Organizatr
1000003015;48;AA;A;Genel Satis;1;937.5;937.5;703.125;234.375;703.125;Kart;Organizatr
1000002986;36;AA;A;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000002925;55;AA;A;Genel Satis;1;1687.5;1687.5;1687.5;0;1687.5;Kart;Organizatr
1000002295;25;AA;D;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000002066;32;AA;D;Genel Satis;2;1125;2250;843.75;562.5;1687.5;Kart;Organizatr
1000001982;33;AA;D;Genel Satis;2;562.5;1125;421.875;281.25;843.75;Kart;Organizatr
1000001656;54;AA;D;Genel Satis;2;450;900;337.5;225;675;Kart;Organizatr
1000001520;25;AA;D;Genel Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000001377;73;AA;C;On Satis;2;750;1500;562.5;375;1125;Kart;Organizatr
1000000968;55;AA;A;On Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000000704;27;AA;A;On Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000000680;19;AA;A;On Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000000658;34;AA;A;On Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000000598;37;AA;A;On Satis;2;1687.5;3375;1265.625;843.75;2531.25;Kart;Organizatr
1000000417;44;AA;A;On Satis;2;1125;2250;843.75;562.5;1687.5;Kart;Organizatr
1000000386;29;AA;A;On Satis;2;1125;2250;843.75;562.5;1687.5;Kart;Organizatr
1000000359;33;AA;C;On Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000000161;34;AA;C;On Satis;2;750;1500;562.5;375;1125;Kart;Organizatr
1000034328;29;AA;A;On Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000034070;45;AA;A;On Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000034057;34;AA;A;On Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000033965;38;AA;A;On Satis;2;1687.5;3375;1265.625;843.75;2531.25;Kart;Organizatr
1000033903;54;AA;A;On Satis;2;1125;2250;843.75;562.5;1687.5;Kart;Organizatr
1000033853;34;AA;A;On Satis;2;1125;2250;843.75;562.5;1687.5;Kart;Organizatr
1000033778;56;AA;C;On Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000033718;29;AA;D;On Satis;2;450;900;337.5;225;675;Kart;Internet
1000033610;26;AA;A;Genel Satis;2;1687.5;3375;1265.625;843.75;2531.25;Kart;Organizatr
1000033584;25;AA;A;Genel Satis;-2;-1687.5;-3375;-1265.625;-843.75;-2531.25;Kart;Organizatr
1000033443;32;AA;C;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000033385;50;AA;C;Genel Satis;-1;-937.5;-937.5;-703.125;-234.375;-703.125;Kart;Organizatr
1000033342;53;AA;C;Genel Satis;-2;-937.5;-1875;-703.125;-468.75;-1406.25;Kart;Organizatr
1000033212;42;AA;C;Genel Satis;1;937.5;937.5;703.125;234.375;703.125;Kart;Organizatr
1000033097;27;AA;C;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000032995;30;AA;A;Genel Satis;2;1687.5;3375;1265.625;843.75;2531.25;Kart;Organizatr
1000034626;27;AA;A;Genel Satis;-2;-1687.5;-3375;-1265.625;-843.75;-2531.25;Kart;Organizatr
1000032609;29;AA;C;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000031945;47;AA;C;Genel Satis;-1;-937.5;-937.5;-703.125;-234.375;-703.125;Kart;Organizatr
1000031092;28;AA;C;Genel Satis;-2;-937.5;-1875;-703.125;-468.75;-1406.25;Kart;Organizatr
1000030784;37;AA;C;Genel Satis;1;937.5;937.5;703.125;234.375;703.125;Kart;Organizatr
1000030778;78;AA;C;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Organizatr
1000030760;63;AA;A;Genel Satis;2;750;1500;562.5;375;1125;Kart;Organizatr
1000030685;64;AA;A;Genel Satis;2;750;1500;562.5;375;1125;Kart;Organizatr
1000030610;32;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000030524;54;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Perakende 
1000030462;55;BB;F;On Satis;1;93.75;93.75;75;18.75;75;Kart;Internet  
1000030433;44;BB;F;Genel Satis;2;37.5;75;37.5;0;75;Kart;Perakende 
1000030406;37;BB;F;Genel Satis;2;37.5;75;37.5;0;75;Kart;Perakende 
1000030178;42;BB;F;Genel Satis;1;37.5;37.5;37.5;0;37.5;Kart;Organizatr
1000030170;41;BB;A;On Satis;2;750;1500;562.5;375;1125;Diğer;Organizatr
1000030160;32;BB;F;On Satis;1;93.75;93.75;75;18.75;75;Kart;Internet  
1000030120;49;BB;A;On Satis;2;1312.5;2625;984.375;656.25;1968.75;Diğer;Organizatr
1000029923;37;BB;F;Genel Satis;2;37.5;75;37.5;0;75;Kart;Perakende 
1000029920;41;BB;A;On Satis;2;1125;2250;843.75;562.5;1687.5;Diğer;Organizatr
1000029612;29;BB;G;Genel Satis;-2;-450;-900;-337.5;-225;-675;Nakit;Organizatr
1000029574;23;BB;G;Genel Satis;2;450;900;337.5;225;675;Nakit;Organizatr
1000029436;29;BB;F;Genel Satis;1;37.5;37.5;37.5;0;37.5;Kart;Perakende 
1000029388;52;BB;F;Genel Satis;1;93.75;93.75;75;18.75;75;Kart;Perakende 
1000029247;37;BB;F;Genel Satis;2;37.5;75;37.5;0;75;Kart;Organizatr
1000029225;23;BB;F;On Satis;1;93.75;93.75;75;18.75;75;Kart;Internet  
1000029202;33;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000029114;30;BB;D;Genel Satis;2;1125;2250;843.75;562.5;1687.5;Kart;Organizatr
1000028155;28;BB;D;Genel Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000028146;31;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000027998;38;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Perakende 
1000027328;26;BB;F;On Satis;1;93.75;93.75;75;18.75;75;Kart;Internet  
1000027271;29;BB;F;Genel Satis;2;37.5;75;37.5;0;75;Kart;Perakende 
1000027263;26;BB;F;Genel Satis;2;37.5;75;37.5;0;75;Kart;Perakende 
1000027261;53;BB;F;Genel Satis;1;37.5;37.5;37.5;0;37.5;Kart;Organizatr
1000027257;36;BB;A;On Satis;2;750;1500;562.5;375;1125;Diğer;Organizatr
1000027074;59;BB;F;On Satis;1;93.75;93.75;75;18.75;75;Kart;Internet  
1000026959;47;BB;A;On Satis;2;1312.5;2625;984.375;656.25;1968.75;Diğer;Organizatr
1000026773;30;BB;F;Genel Satis;2;37.5;75;37.5;0;75;Kart;Perakende 
1000025857;37;BB;A;On Satis;2;1125;2250;843.75;562.5;1687.5;Diğer;Organizatr
1000025839;27;BB;G;Genel Satis;-2;-450;-900;-337.5;-225;-675;Nakit;Organizatr
1000025786;33;BB;G;Genel Satis;2;450;900;337.5;225;675;Nakit;Organizatr
1000025759;38;BB;F;Genel Satis;1;37.5;37.5;37.5;0;37.5;Kart;Perakende 
1000025495;38;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Perakende 
1000026386;28;BB;F;Genel Satis;2;37.5;75;37.5;0;75;Kart;Organizatr
1000026384;24;BB;F;On Satis;1;93.75;93.75;75;18.75;75;Kart;Internet  
1000026377;29;BB;F;Genel Satis;2;93.75;187.5;75;37.5;150;Kart;Organizatr
1000026286;38;BB;D;Genel Satis;2;1125;2250;843.75;562.5;1687.5;Kart;Organizatr
1000025807;24;BB;D;Genel Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000021953;64;BB;D;Genel Satis;2;675;1350;506.25;337.5;1012.5;Kart;Organizatr
1000021894;81;BB;B;Genel Satis;2;937.5;1875;703.125;468.75;1406.25;Kart;Internet
1000025269;83;BB;D;Genel Satis;2;562.5;1125;421.875;281.25;843.75;Kart;Organizatr
1000019368;75;BB;D;Genel Satis;2;562.5;1125;421.875;281.25;843.75;Kart;Organizatr
1000017537;78;BB;G;Genel Satis;2;262.5;525;196.875;131.25;393.75;Kart;Organizatr
1000008234;82;BB;H;Genel Satis;2;150;300;112.5;75;225;Kart;Internet
1000002642;24;BB;G;Genel Satis;2;225;450;168.75;112.5;337.5;Kart;Organizatr
1000000903;69;BB;A;Genel Satis;1;562.5;562.5;421.875;140.625;421.875;Kart;Organizatr
1000000492;23;BB;A;Genel Satis;2;562.5;1125;421.875;281.25;843.75;Kart;Organizatr
1000000170;24;BB;A;Genel Satis;1;562.5;562.5;421.875;140.625;421.875;Kart;Organizatr
1000000157;24;BB;A;Genel Satis;2;562.5;1125;421.875;281.25;843.75;Kart;Organizatr
1000034464;21;BB;D;Genel Satis;1;1125;1125;843.75;281.25;843.75;Kart;Organizatr
1000033437;23;BB;D;Genel Satis;1;281.25;281.25;211.875;69.375;211.875;Kart;Organizatr
1000032193;13;BB;B;Genel Satis;1;1125;1125;843.75;281.25;843.75;Kart;Organizatr
1000031900;68;BB;D;Genel Satis;1;243.75;243.75;183.75;60;183.75;Kart;Organizatr
1000031252;23;BB;D;Genel Satis;1;937.5;937.5;703.125;234.375;703.125;Kart;Organizatr
1000030699;22;BB;H;Genel Satis;2;150;300;112.5;75;225;Kart;Ana Gişe
1000030662;23;BB;H;On Satis;1;1125;1125;843.75;281.25;843.75;Kart;Organizatr
1000030605;22;BB;H;On Satis;1;562.5;562.5;421.875;140.625;421.875;Kart;Organizatr
1000030541;20;BB;H;On Satis;1;1125;1125;843.75;281.25;843.75;Kart;Organizatr
1000029847;26;BB;H;On Satis;1;562.5;562.5;421.875;140.625;421.875;Kart;Organizatr
