Deg_Uye_iD;Deg_iD;Kart_Grubu;Uyelik_Tipi;VALiD_TO;il;iLcE;Yas;Kanal
12288;1000027947;CC;Yenileme;31.01.2011;istanbul;sisli;60;IKSV
13600;1000029980;CC;Yenileme;31.01.2011;istanbul;N/A;57;IKSV
13841;1000030390;CC;Yenileme;31.01.2011;istanbul;N/A;51;IKSV
14197;1000031019;CC;Yenileme;31.01.2011;istanbul;N/A;44;IKSV
14198;1000031027;CC;Yenileme;31.01.2011;istanbul;N/A;48;IKSV
14200;1000031030;CC;Yenileme;31.01.2011;istanbul;N/A;47;IKSV
14201;1000031031;CC;Yenileme;31.01.2011;istanbul;Besiktas;75;IKSV
14206;1000031056;CC;Yenileme;31.01.2011;istanbul;N/A;48;IKSV
14207;1000031057;CC;Yenileme;31.01.2011;istanbul;N/A;44;IKSV
14773;1000032061;BB;Yenileme;31.01.2011;istanbul;Elmadag;63;IKSV
14901;1000032543;CC;Yenileme;31.01.2011;Ankara;cankaya;73;IKSV
14908;1000032559;DD;Yenileme;31.01.2011;istanbul;Nisantasi;80;IKSV
14998;1000032704;CC;Kat. Yükseltme;31.01.2011;istanbul;Moda;43;IKSV
N/A 263;1000000019;CC;Yeni;31.01.2011;istanbul;Kadikoy;49;N/A
2339;1000003792;CC;Kat. Yükseltme;28.02.2011;istanbul;Sariyer;54;IKSV
6793;1000013713;XX;Yeni;28.02.2011;istanbul;sisli;89;IKSV
6794;1000013715;AA;Yeni;28.02.2011;istanbul;N/A;51;IKSV
6796;1000013720;CC;Yeni;28.02.2011;istanbul;Tesvikiye;50;IKSV
6798;1000013725;CC;Yeni;28.02.2011;istanbul;Bostanci;44;IKSV
6799;1000013734;CC;Yeni;28.02.2011;istanbul;Maslak;41;IKSV
6802;1000013739;CC;Yeni;28.02.2011;istanbul;Eyup;65;IKSV
6810;1000013763;XX;Yeni;28.02.2011;istanbul;Osmanbey;75;IKSV
6811;1000013772;AA;Yeni;28.02.2011;istanbul;Sariyer;47;IKSV
6815;1000013776;XX;Yeni;28.02.2011;istanbul;sisli;43;IKSV
6821;1000013784;DD;Yeni;28.02.2011;istanbul;Besiktas;49;IKSV
6822;1000013785;BB;Yeni;28.02.2011;istanbul;Etiler;47;IKSV
6825;1000013795;CC;Yeni;28.02.2011;istanbul;sisli;53;IKSV
6826;1000013797;AA;Yeni;28.02.2011;istanbul;Beyoglu;64;IKSV
7048;1000014446;CC;Yeni;28.02.2011;istanbul;Gayrettepe;42;IKSV
7444;1000015761;CC;Yenileme;28.02.2011;istanbul;N/A;47;IKSV
7445;1000015762;CC;Yenileme;28.02.2011;istanbul;N/A;42;IKSV
7462;1000015809;CC;Yenileme;28.02.2011;istanbul;N/A;40;IKSV
7484;1000015892;XX;Kat. Yükseltme;28.02.2011;istanbul;Nisantasi;73;IKSV
7505;1000015943;DD;Yenileme;28.02.2011;istanbul;Besiktas;76;IKSV
7517;1000015974;BB;Kat. Yükseltme;28.02.2011;istanbul;uskudar;67;IKSV
7869;1000017119;BB;Yeni;28.02.2011;istanbul;Besiktas;45;Cagri Merkezi
7948;1000017403;CC;Yenileme;28.02.2011;istanbul;Sariyer;44;IKSV
8095;1000017941;XX;Yeni;28.02.2011;istanbul;Kirac;40;IKSV
8241;1000018309;DD;Yeni;28.02.2011;istanbul;sisli;67;IKSV
8254;1000018339;CC;Yenileme;28.02.2011;istanbul;N/A;41;IKSV
8331;1000018639;CC;Kat. Yükseltme;28.02.2011;Muğla;Bodrum;38;IKSV
8590;1000019474;BB;Yeni;28.02.2011;istanbul;Halkali;57;Cagri Merkezi
8655;1000019686;CC;Kat. Yükseltme;28.02.2011;istanbul;Bagcilar;49;IKSV
8729;1000019933;CC;Kat. Yükseltme;28.02.2011;istanbul;Besiktas;59;IKSV
8767;1000020051;CC;Yenileme;28.02.2011;istanbul;Besiktas;57;IKSV
8772;1000020068;DD;Yeni;28.02.2011;istanbul;Levent;38;Internet
8781;1000020088;BB;Yenileme;28.02.2011;istanbul;Bebek;53;IKSV
8791;1000020132;BB;Yenileme;28.02.2011;istanbul;Besiktas;54;IKSV
8793;1000020140;CC;Kat. Yükseltme;28.02.2011;istanbul;Nisantasi;49;IKSV
8963;1000020662;BB;Yenileme;28.02.2011;istanbul;Besiktas;52;IKSV
9028;1000020869;DD;Yeni;28.02.2011;istanbul;Beyoglu;35;IKSV
9151;1000021273;CC;Yeni;28.02.2011;istanbul;Kadikoy;73;Cagri Merkezi
9154;1000021288;CC;Yenileme;28.02.2011;istanbul;Fenerbahce;73;IKSV
9178;1000021387;CC;Yeni;28.02.2011;istanbul;Levent;40;Internet
9245;1000021583;BB;Yenileme;28.02.2011;istanbul;Caddebostan;60;IKSV
9306;1000021813;AA;Yeni;28.02.2011;istanbul;Gebze;46;IKSV
9387;1000022085;CC;Kat. Yükseltme;28.02.2011;istanbul;Fenerbahce;55;IKSV
9555;1000022637;XX;Yeni;28.02.2011;istanbul;Nisantasi;64;IKSV
9789;1000023353;CC;Yenileme;28.02.2011;istanbul;Nisantasi;66;IKSV
10062;1000024259;XX;Yeni;28.02.2011;istanbul;Erenkoy;65;IKSV
10154;1000024580;XX;Yeni;28.02.2011;istanbul;sisli;51;IKSV
10406;1000025103;BB;Kat. Yükseltme;28.02.2011;istanbul;Besiktas;64;IKSV
10756;1000025664;BB;Kat. Yükseltme;28.02.2011;istanbul;Bostanci;55;IKSV
11115;1000026165;BB;Yenileme;28.02.2011;istanbul;Fenerbahce;60;IKSV
11194;1000026301;BB;Yenileme;28.02.2011;izmir;Guzelyali;55;IKSV
12132;1000027779;AA;Yenileme;28.02.2011;istanbul;Sariyer;55;IKSV
14879;1000032430;AA;Yenileme;28.02.2011;istanbul;Esenler;51;IKSV
582;1000000945;CC;Kat. Yükseltme;31.03.2011;istanbul;Beyoglu;55;IKSV
1275;1000013436;CC;Yeni;31.03.2011;istanbul;N/A;36;IKSV
1772;1000013625;DD;Yeni;31.03.2011;istanbul;Yesilkoy;37;IKSV
3117;1000027951;CC;Yeni;31.03.2011;istanbul;Maslak;48;Cagri Merkezi
4100;1000007359;CC;Yeni;31.03.2011;istanbul;Besiktas;47;Internet
4399;1000007983;BB;Kat. Yükseltme;31.03.2011;istanbul;Kadikoy;52;IKSV
6258;1000012135;DD;Yenileme;31.03.2011;istanbul;Besiktas;49;IKSV
6659;1000013469;DD;Yeni;31.03.2011;istanbul;Bagcilar;37;IKSV
6686;1000013358;DD;Yeni;31.03.2011;istanbul;Atakoy;29;IKSV
6688;1000013362;DD;Yeni;31.03.2011;istanbul;Laleli;37;IKSV
6689;1000013363;DD;Yeni;31.03.2011;istanbul;sisli;35;IKSV
6690;1000013364;XX;Yeni;31.03.2011;istanbul;Yedikule;33;IKSV
6691;1000013365;DD;Yeni;31.03.2011;istanbul;N/A;77;IKSV
6692;1000013366;CC;Yeni;31.03.2011;N/A;N/A;55;IKSV
6694;1000013370;CC;Yeni;31.03.2011;istanbul;Maslak;45;IKSV
6696;1000013374;CC;Yeni;31.03.2011;istanbul;Pangalti;58;IKSV
6704;1000013394;XX;Yeni;31.03.2011;istanbul;Pendik;35;IKSV
6705;1000013395;CC;Yeni;31.03.2011;istanbul;Tesvikiye;84;IKSV
6710;1000013416;BB;Yeni;31.03.2011;istanbul;Kagithane;49;IKSV
6712;1000013419;DD;Yeni;31.03.2011;istanbul;Erenkoy;75;IKSV
6715;1000013423;DD;Yeni;31.03.2011;istanbul;Gayrettepe;16;IKSV
6716;1000013424;BB;Yeni;31.03.2011;istanbul;Maslak;55;IKSV
6717;1000013428;XX;Yeni;31.03.2011;istanbul;Bahcelievler;24;IKSV
6718;1000013431;CC;Yeni;31.03.2011;istanbul;Taksim;51;Internet
6720;1000013442;CC;Yeni;31.03.2011;istanbul;N/A;38;IKSV
6723;1000013453;CC;Yeni;31.03.2011;istanbul;Kemerburgaz;60;IKSV
6728;1000013467;DD;Yeni;31.03.2011;istanbul;sisli;30;IKSV
6729;1000013468;DD;Yeni;31.03.2011;istanbul;Besiktas;75;IKSV
6730;1000013470;DD;Yeni;31.03.2011;istanbul;sisli;33;IKSV
6731;1000013471;XX;Yeni;31.03.2011;istanbul;Beyoglu;36;IKSV
6732;1000013472;DD;Yeni;31.03.2011;Kocaeli;N/A;39;IKSV
6733;1000013473;CC;Yeni;31.03.2011;istanbul;Kiziltoprak;50;IKSV
6738;1000013488;CC;Yeni;31.03.2011;istanbul;uskudar;64;IKSV
6739;1000013496;XX;Yeni;31.03.2011;istanbul;sisli;63;IKSV
6741;1000013507;CC;Yeni;31.03.2011;istanbul;N/A;50;IKSV
6744;1000013527;CC;Yeni;31.03.2011;istanbul;Pendik;40;IKSV
6746;1000013532;AA;Yeni;31.03.2011;istanbul;Besiktas;70;IKSV
6747;1000013540;XX;Yeni;31.03.2011;istanbul;Besiktas;90;IKSV
6750;1000013546;XX;Yeni;31.03.2011;istanbul;Zekeriyakoy;65;IKSV
6751;1000013556;CC;Yeni;31.03.2011;istanbul;Kadikoy;62;IKSV
6752;1000013564;XX;Yeni;31.03.2011;istanbul;Caddebostan;32;IKSV
6753;1000013565;DD;Yeni;31.03.2011;istanbul;cekmekoy;26;IKSV
6754;1000013568;DD;Yeni;31.03.2011;istanbul;Cihangir;39;IKSV
6761;1000013609;DD;Yeni;31.03.2011;istanbul;Nisantasi;30;IKSV
6762;1000013610;CC;Yeni;31.03.2011;istanbul;Kalamis;65;Cagri Merkezi
6764;1000013621;CC;Yeni;31.03.2011;istanbul;Moda;43;IKSV
6764;1000016330;CC;Yeni;31.03.2011;istanbul;Moda;43;Internet
6765;1000013622;XX;Yeni;31.03.2011;istanbul;N/A;31;IKSV
6766;1000013624;CC;Yeni;31.03.2011;istanbul;Sariyer;50;IKSV
6769;1000013632;CC;Yeni;31.03.2011;istanbul;Sariyer;71;IKSV
6770;1000013642;BB;Yeni;31.03.2011;istanbul;N/A;46;IKSV
6771;1000013643;DD;Yeni;31.03.2011;istanbul;sile;44;IKSV
6773;1000013645;DD;Yeni;31.03.2011;istanbul;uskudar;66;Cagri Merkezi
6776;1000013650;CC;Yeni;31.03.2011;istanbul;uskudar;45;Internet
6777;1000013651;DD;Yeni;31.03.2011;istanbul;Beyoglu;29;Internet
6788;1000013684;DD;Yeni;31.03.2011;istanbul;uskudar;54;IKSV
6789;1000013692;XX;Yeni;31.03.2011;Muğla;Marmaris;62;IKSV
6790;1000013694;CC;Yeni;31.03.2011;istanbul;Kadikoy;45;IKSV
6791;1000013698;BB;Yeni;31.03.2011;istanbul;N/A;56;IKSV
6893;1000014024;BB;Yenileme;31.03.2011;istanbul;Fenerbahce;71;IKSV
6926;1000014121;CC;Kat. Yükseltme;31.03.2011;istanbul;Ulus;49;IKSV
7059;1000014472;BB;Yenileme;31.03.2011;istanbul;Kadikoy;70;IKSV
7116;1000014657;DD;Yeni;31.03.2011;istanbul;Yesilyurt;34;Internet
7325;1000015366;CC;Yeni;31.03.2011;istanbul;sisli;43;Internet
7375;1000015530;CC;Yenileme;31.03.2011;istanbul;Kemerburgaz;53;IKSV
7379;1000015543;CC;Kat. Yükseltme;31.03.2011;istanbul;Ortakoy;73;IKSV
7394;1000015591;DD;Yenileme;31.03.2011;istanbul;Beykoz;31;IKSV
7395;1000015592;CC;Kat. Yükseltme;31.03.2011;istanbul;Besiktas;42;IKSV
7397;1000015598;CC;Yenileme;31.03.2011;istanbul;Besiktas;44;IKSV
7398;1000015606;CC;Yenileme;31.03.2011;istanbul;Eyup;46;IKSV
7400;1000015622;XX;Kat. Yükseltme;31.03.2011;istanbul;Ulus;30;IKSV
7401;1000015623;CC;Yeni;31.03.2011;istanbul;Levent;49;Cagri Merkezi
7408;1000015635;CC;Yeni;31.03.2011;istanbul;Kadikoy;62;Internet
7410;1000015637;XX;Kat. Yükseltme;31.03.2011;istanbul;Besiktas;60;IKSV
7417;1000015672;DD;Yenileme;31.03.2011;istanbul;Beyoglu;40;IKSV
7421;1000015689;CC;Yeni;31.03.2011;istanbul;Pendik;39;Internet
7427;1000015707;DD;Yenileme;31.03.2011;istanbul;Emirgan;51;IKSV
7429;1000015717;CC;Kat. Yükseltme;31.03.2011;istanbul;Eyup;38;IKSV
7499;1000015935;CC;Yeni;31.03.2011;istanbul;Beyoglu;50;Internet
7541;1000016074;CC;Yeni;31.03.2011;istanbul;Erenkoy;44;Internet
7617;1000016307;BB;Yeni;31.03.2011;istanbul;Eyup;60;Internet
7641;1000016405;DD;Yenileme;31.03.2011;istanbul;uskudar;45;IKSV
7749;1000016742;BB;Kat. Yükseltme;31.03.2011;istanbul;sisli;47;IKSV
7813;1000016926;CC;Yenileme;31.03.2011;istanbul;sisli;57;IKSV
7883;1000017189;DD;Yeni;31.03.2011;istanbul;Besiktas;60;Cagri Merkezi
7900;1000017245;DD;Yeni;31.03.2011;istanbul;Nisantasi;78;IKSV
7919;1000017308;CC;Yeni;31.03.2011;istanbul;Levent;42;Internet
7926;1000017335;CC;Yenileme;31.03.2011;istanbul;Maslak;42;IKSV
8009;1000017622;BB;Yenileme;31.03.2011;istanbul;Tuzla;51;IKSV
8030;1000017706;DD;Yenileme;31.03.2011;istanbul;Beyoglu;76;IKSV
8033;1000017719;XX;Kat. Yükseltme;31.03.2011;istanbul;cekmekoy;33;IKSV
8045;1000017762;CC;Kat. Yükseltme;31.03.2011;istanbul;Besiktas;38;IKSV
8051;1000017792;XX;Kat. Yükseltme;31.03.2011;istanbul;Kadikoy;29;IKSV
8057;1000017815;CC;Yenileme;31.03.2011;istanbul;Besiktas;58;IKSV
8059;1000017824;CC;Yenileme;31.03.2011;istanbul;Gayrettepe;45;IKSV
8073;1000017880;XX;Yeni;31.03.2011;istanbul;Findikzade;29;Internet
8134;1000018015;DD;Yenileme;31.03.2011;istanbul;Etiler;40;IKSV
8139;1000018040;CC;Yeni;31.03.2011;istanbul;Levent;62;Internet
8161;1000018103;AA;Yenileme;31.03.2011;istanbul;uskudar;61;IKSV
8169;1000018137;CC;Yeni;31.03.2011;istanbul;Ayazaga;65;Cagri Merkezi
8181;1000018167;CC;Yeni;31.03.2011;istanbul;Etiler;34;Internet
8226;1000018265;XX;Yeni;31.03.2011;istanbul;umraniye;80;IKSV
8268;1000018390;XX;Kat. Yükseltme;31.03.2011;istanbul;Anadoluhisari;81;IKSV
8295;1000018520;DD;Yeni;31.03.2011;istanbul;Bahcelievler;37;Internet
8296;1000018524;XX;Kat. Yükseltme;31.03.2011;istanbul;Besiktas;65;IKSV
8322;1000018613;XX;Yeni;31.03.2011;istanbul;Levent;64;Internet
8356;1000018720;CC;Yenileme;31.03.2011;ankara;N/A;34;IKSV
8364;1000018739;CC;Yeni;31.03.2011;istanbul;Kadikoy;46;Internet
8376;1000018792;CC;Kat. Yükseltme;31.03.2011;istanbul;Levent;42;IKSV
8394;1000018827;CC;Yeni;31.03.2011;istanbul;Akatlar;43;Internet
8450;1000018992;CC;Yeni;31.03.2011;istanbul;Etiler;42;Internet
8511;1000019188;CC;Yeni;31.03.2011;istanbul;Zekeriyakoy;43;Internet
8579;1000019440;BB;Yenileme;31.03.2011;istanbul;N/A;40;IKSV
8615;1000019561;CC;Kat. Yükseltme;31.03.2011;istanbul;Kadikoy;43;IKSV
8629;1000019626;XX;Yeni;31.03.2011;istanbul;Besiktas;56;IKSV
8646;1000019660;CC;Yeni;31.03.2011;istanbul;Kadikoy;64;IKSV
8657;1000019694;XX;Kat. Yükseltme;31.03.2011;istanbul;Fatih;54;IKSV
8675;1000019762;CC;Yeni;31.03.2011;istanbul;Bostanci;54;Internet
8706;1000019862;DD;Yenileme;31.03.2011;istanbul;Kadikoy;78;IKSV
8709;1000019870;CC;Yeni;31.03.2011;istanbul;uskudar;56;IKSV
8746;1000019990;CC;Yenileme;31.03.2011;istanbul;Yesilkoy;43;IKSV
8762;1000020037;CC;Yenileme;31.03.2011;istanbul;Nisantasi;74;IKSV
8796;1000020158;CC;Yeni;31.03.2011;istanbul;Seyrantepe;57;IKSV
8817;1000020213;CC;Yeni;31.03.2011;istanbul;sisli;39;IKSV
8825;1000020251;DD;Yeni;31.03.2011;istanbul;Kadikoy;44;Cagri Merkezi
8868;1000020419;XX;Yeni;31.03.2011;istanbul;Kasimpasa;37;IKSV
8898;1000020498;DD;Yenileme;31.03.2011;istanbul;sisli;39;Cagri Merkezi
8904;1000020518;CC;Yenileme;31.03.2011;istanbul;Beyoglu;61;IKSV
8921;1000020558;CC;Yeni;31.03.2011;istanbul;umraniye;39;Internet
8928;1000020571;CC;Yeni;31.03.2011;istanbul;Tesvikiye;41;IKSV
8994;1000020772;CC;Yenileme;31.03.2011;istanbul;sisli;70;Cagri Merkezi
9007;1000020818;CC;Yeni;31.03.2011;istanbul;Etiler;36;Cagri Merkezi
9045;1000020924;DD;Yenileme;31.03.2011;istanbul;Ortakoy;30;IKSV
9080;1000021033;CC;Yeni;31.03.2011;istanbul;uskudar;48;Internet
9091;1000021069;CC;Kat. Yükseltme;31.03.2011;istanbul;sisli;59;IKSV
9140;1000021242;DD;Yeni;31.03.2011;istanbul;Eyup;52;Cagri Merkezi
9152;1000021283;CC;Kat. Yükseltme;31.03.2011;istanbul;Beyoglu;53;IKSV
9217;1000021500;BB;Kat. Yükseltme;31.03.2011;istanbul;Etiler;54;IKSV
9250;1000021604;CC;Yeni;31.03.2011;istanbul;Tarabya;49;IKSV
9253;1000021610;BB;Yenileme;31.03.2011;istanbul;Kagithane;48;IKSV
9287;1000021742;CC;Kat. Yükseltme;31.03.2011;istanbul;Ulus;64;IKSV
9298;1000021784;BB;Yenileme;31.03.2011;istanbul;Macka;60;IKSV
9311;1000021842;CC;Yeni;31.03.2011;istanbul;Besiktas;44;Internet
9425;1000022227;CC;Yeni;31.03.2011;istanbul;Merter;49;Internet
9469;1000022356;BB;Yeni;31.03.2011;istanbul;Tesvikiye;73;Internet
9528;1000022566;DD;Yeni;31.03.2011;istanbul;Sariyer;47;IKSV
9586;1000022715;AA;Yenileme;31.03.2011;istanbul;Beykoz;55;IKSV
9594;1000022745;CC;Kat. Yükseltme;31.03.2011;istanbul;Nisantasi;68;IKSV
9618;1000022820;CC;Kat. Yükseltme;31.03.2011;istanbul;Yenibosna;50;IKSV
9623;1000022831;CC;Yenileme;31.03.2011;Gaziantep;Nizip;35;IKSV
9655;1000022932;CC;Kat. Yükseltme;31.03.2011;istanbul;Sariyer;47;IKSV
9656;1000022937;CC;Yeni;31.03.2011;istanbul;Levent;49;Cagri Merkezi
9754;1000023228;CC;Yeni;31.03.2011;istanbul;Besiktas;57;Internet
9757;1000023241;CC;Yenileme;31.03.2011;istanbul;sisli;64;IKSV
9801;1000023402;DD;Yeni;31.03.2011;istanbul;Eminonu;38;IKSV
9842;1000023521;BB;Yenileme;31.03.2011;istanbul;Beyoglu;49;IKSV
9860;1000023608;CC;Kat. Yükseltme;31.03.2011;istanbul;Kagithane;46;IKSV
9870;1000023648;CC;Yeni;31.03.2011;istanbul;uskudar;36;Cagri Merkezi
9895;1000023735;CC;Yeni;31.03.2011;istanbul;Sariyer;N/A;Cagri Merkezi
9900;1000023749;CC;Yeni;31.03.2011;istanbul;Erenkoy;45;Cagri Merkezi
9903;1000023752;CC;Yeni;31.03.2011;istanbul;Besiktas;47;Cagri Merkezi
9918;1000023807;CC;Yenileme;31.03.2011;istanbul;uskudar;44;IKSV
9924;1000023822;CC;Yeni;31.03.2011;istanbul;Maslak;35;Internet
9932;1000023841;CC;Yeni;31.03.2011;istanbul;Atasehir;45;IKSV
10016;1000024103;XX;Kat. Yükseltme;31.03.2011;istanbul;Bebek;60;IKSV
10023;1000024138;XX;Kat. Yükseltme;31.03.2011;istanbul;sisli;61;IKSV
10085;1000024350;DD;Yenileme;31.03.2011;istanbul;Kadikoy;33;IKSV
10118;1000024474;CC;Yeni;31.03.2011;istanbul;Levent;62;Cagri Merkezi
10144;1000024537;CC;Kat. Yükseltme;31.03.2011;istanbul;Ulus;63;IKSV
10152;1000024576;CC;Yeni;31.03.2011;istanbul;N/A;40;Internet
10162;1000024605;BB;Yenileme;31.03.2011;istanbul;Gayrettepe;48;IKSV
10195;1000024730;CC;Yeni;31.03.2011;istanbul;Pendik;45;Internet
10198;1000024734;BB;Yeni;31.03.2011;istanbul;Sariyer;61;IKSV
10201;1000024746;CC;Yeni;31.03.2011;istanbul;Tarabya;49;Internet
10209;1000024784;XX;Yeni;31.03.2011;istanbul;Levent;69;IKSV
10397;1000025069;CC;Yeni;31.03.2011;istanbul;Besiktas;36;Internet
10403;1000025094;CC;Kat. Yükseltme;31.03.2011;istanbul;Ayazaga;41;IKSV
10423;1000025148;CC;Yeni;31.03.2011;istanbul;Bebek;49;Cagri Merkezi
10723;1000025610;CC;Kat. Yükseltme;31.03.2011;istanbul;Sariyer;56;IKSV
10818;1000025773;CC;Yeni;31.03.2011;istanbul;Ortakoy;42;IKSV
11191;1000026287;BB;Yenileme;31.03.2011;istanbul;Sariyer;57;IKSV
11256;1000026432;BB;Yeni;31.03.2011;istanbul;Nisantasi;55;Cagri Merkezi
11489;1000026796;XX;Kat. Yükseltme;31.03.2011;istanbul;Emirgan;67;IKSV
11614;1000027021;CC;Yeni;31.03.2011;istanbul;Tuzla;38;Internet
11794;1000027237;CC;Yenileme;31.03.2011;istanbul;Kadikoy;54;IKSV
11865;1000027347;BB;Kat. Yükseltme;31.03.2011;istanbul;Besiktas;82;IKSV
